"","Character","Occupation","Category"
"300","Bryant Gumbel","American television journalist and sportscaster, best known for his 15 years as co-host of NBC's Today","News Entertainer"
"301","Bubba Sparxxx","American rapper","Musical Entertainer"
"302","Buck Dharma","American guitarist and songwriter, best known for being a member of Blue Öyster Cult since the group's formation in 1967","Musical Entertainer"
"303","Bud Collins","American journalist and television sportscaster, best known for his tennis commentary","News Entertainer"
"304","Buddy Holly","American musician and singer-songwriter who was a central figure of mid-1950s rock and roll","Musical Entertainer"
"305","Buffy Sainte-Marie","Native Canadian singer-songwriter, musician, composer, visual artist, educator, pacifist, and social activist","Musical Entertainer"
"306","Bun E. Carlos","primary drummer for American rock band Cheap Trick","Musical Entertainer"
"307","Burt Bacharach","American composer, songwriter, record producer, pianist, and singer","Musical / Acting Entertainer"
"308","Burt Reynolds","American actor, director and producer","Acting Entertainer"
"309","Burt Ward","American television actor and activist","Acting Entertainer"
"310","Busta Rhymes","American recording artist, actor, record producer and record executive","Musical / Acting Entertainer"
"311","Butch Patrick","American child actor","Acting Entertainer"
"312","Byung-Hyun Kim","South Korean professional baseball pitcher for the Kia Tigers of the KBO League. He is best known for his years with the Arizona Diamondbacks and the Boston Red Sox.","Athlete"
"313","Calamity Jane","American frontierswoman and professional scout, known for her claims of being an acquaintance of Wild Bill Hickok and fighting against Native Americans","other"
"314","Calista Flockhart","American actress, widely known for her roles on television in Ally McBeal, Brothers & Sisters and Supergirl","Acting Entertainer"
"315","Callista Gingrich","President of Gingrich Productions, married to former Speaker of the U.S. House of Representatives and 2012 Republican Presidential candidate Newt Gingrich","U.S. Political Family"
"316","Cam Newton","American football quarterback for the Carolina Panthers of the National Football League (NFL)","Athlete"
"317","Cameron Crowe","American director, producer, screenwriter, journalist, author, and actor","Acting Entertainer"
"318","Cameron Diaz","American actress, producer, and former fashion model","Acting Entertainer"
"319","Camilla Parker-Bowles","Duchess of Cornwall, second wife of Charles (Prince of Wales)","Non-U.S. Politician"
"320","Campbell Brown","former American television news reporter and anchorwoman","News Entertainer"
"321","Camryn Manheim","American actress known primarily for her roles on ABC's The Practice, CBS's Ghost Whisperer, Person of Interest","Acting Entertainer"
"322","Candace Gingrich","American LGBT rights activist at the Human Rights Campaign and half-sister of former Speaker of the House Newt Gingrich","U.S. Political Family"
"323","Candy Crowley","American news anchor who was employed as CNN's chief political correspondent, specializing in USA national and state elections","News Entertainer"
"324","Cane","Serbian rock musician, known primarily as the leader and vocalist for Serbian punk rock group Partibrejkers.","Musical Entertainer"
"325","Captain Lou Albano","Italian American professional wrestler, manager and actor","Athlete"
"326","Carl Levin","former United States Senator from Michigan, having served from 1979 to 2015","U.S. Politician"
"327","Carl Rowan","American government official, journalist and author","U.S. Politician"
"328","Carl Sagan","American astronomer, cosmologist, astrophysicist, astrobiologist, author, science popularizer, and science communicator in astronomy and other natural sciences","Scientist"
"329","Carl XVI Gustaf","King of Sweden","Non-U.S. Politician"
"330","Carlos Santana","Mexican and American musician who first became famous in the late 1960s and early 1970s with his band, Santana, which pioneered a fusion of rock and Latin American music","Musical Entertainer"
"331","Carly Fiorina","American businesswoman","Business Leader"
"332","Carmen Electra","American glamour model, actress, television personality, singer, and dancer","Musical / Acting Entertainer"
"333","Carnie Wilson","American singer and television host, perhaps best known as a member of the pop music group Wilson Phillips","Musical Entertainer"
"334","Carol Channing","American actress, singer, dancer, comedian, and voice artist","Musical / Acting Entertainer"
"335","Carol Moseley Braun","American politician and lawyer who represented Illinois in the United States Senate from 1993 to 1999","U.S. Politician"
"336","Carol Wayne","American television and film actress","Acting Entertainer"
"337","Carole King","American composer and singer-songwriter","Musical Entertainer"
"338","Carole Lombard","American film actress","Acting Entertainer"
"339","Caroline Giuliani","best known as daughter of former NYC mayor, Rudy Giuliani","U.S. Political Family"
"340","Carolyn Kepcher","American businesswoman, perhaps best known for her regular appearances on the NBC television program The Apprentice","Business Leader"
"341","Carolyn Maloney","U.S. Representative for New York's 12th congressional district","U.S. Politician"
"342","Carrie Donovan","American fashion editor for Vogue, Harper's Bazaar and The New York Times Magazine","Writer"
"343","Carrot Top","American stand-up comedian and actor best known for his bright red hair, prop comedy, and self-deprecating humor","Acting Entertainer"
"344","Carson Daly","American television host, radio personality, producer and television personality","Acting Entertainer"
"345","Carson Kressley","television personality, actor and designer","Acting Entertainer"
"346","Cary Grant","British-American actor, known as one of classic Hollywood's definitive leading men","Acting Entertainer"
"347","Casey Affleck","American actor and director","Acting Entertainer"
"348","Casey Kasem","American disc jockey, music historian, radio personality, voice actor, and actor, known for being the host of several music radio countdown programs, most notably American Top 40","News Entertainer"
"349","Caspar Weinberger","American politician and businessman","U.S. Politician"
"350","Cate Blanchett","Australian actress and theatre director","Acting Entertainer"
"351","Catharine MacKinnon","American radical feminist, scholar, lawyer, teacher and activist","Law Professional"
"352","Catherine Campbell","former New Zealand cricketer","Athlete"
"353","Catherine Cruz","best known as daughter of politician Ted Cruz","U.S. Political Family"
"354","Catherine Deneuve","French actress as well as an occasional singer, model and producer","Musical / Acting Entertainer"
"355","Catherine Zeta-Jones","Welsh actress","Acting Entertainer"
"356","Cecil Jacobson","American former fertility doctor who used his own sperm to impregnate his patients without informing them","Criminal"
"357","Cecilia Giminez","best known as an untrained elderly amateur art restorer who reinterpreted the ""Ecce Homo"" painting of Jesus","other"
"358","Cee Lo Green","American singer, rapper, songwriter, record producer, actor, and businessman","Musical / Acting Entertainer"
"359","Celine Dion","Canadian singer and businesswoman","Musical Entertainer"
"360","Cesar Romero","American actor, singer, dancer, voice artist, and comedian who was active in film, radio, and television for almost 60 years","Musical / Acting Entertainer"
"361","Chad Lowe","American actor and director","Acting Entertainer"
"362","Chad Michael Murray","American actor, spokesperson, writer and former fashion model","Acting Entertainer"
"363","Chaka Khan","American singer whose career has spanned five decades, beginning in the 1970s as the frontwoman and focal point of the funk band Rufus","Musical Entertainer"
"364","Chappell Hartridge","best known as a juror in the Martha Stewart court case that spoke openly and frequently with the press about the case","other"
"365","Charles Barkley","American retired professional basketball player and current analyst on the television program Inside the NBA","Athlete / News Entertainer"
"366","Charles Gibson","retired United States broadcast television anchor and journalist","News Entertainer"
"367","Charles Grodin","American actor, comedian, author, and former cable talk show host","Acting Entertainer"
"368","Charles Kuralt","American journalist","News Entertainer"
"369","Charles Latibeaudiere","TMZ executive producer","News Entertainer"
"370","Charles Lindbergh","American aviator, military officer, author, inventor, explorer, and environmental activist","other"
"371","Charles Manson","American former cult leader who led what became known as the Manson Family, a quasi-commune that arose in California in the late 1960s","Criminal"
